156;81064;36;99871;TOKOM (TOGHOM);
157;81065;35;99871;URUFU;
158;81066;36;99871;WAIRU (MAIRU);
159;81067;36;99871;WANGGATE;
160;81068;36;99871;YANGPOP;
161;81069;37;99872;AGHAM (AGHAIN);
162;81070;38;99872;ATI / ATTI;
163;81071;37;99872;GHANU;
164;81072;37;99872;IMA;
165;81073;38;99872;KABE;
166;81074;38;99872;KAUMI;
167;81075;38;99872;KAYAGAE (KAYAGAI);
168;81076;37;99872;KHATAN / KATAN;
169;81077;38;99872;KOFAR;
170;81078;38;99872;KOGIR;
171;81079;37;99872;KOGOYAMAN;
172;81080;38;99872;KOMRU;
173;81081;37;99872;LINGGUA;
174;81082;37;99872;MAGABAG / MAGABAK;
175;81083;37;99872;MONANA;
176;81084;37;99872;MUR;
177;81085;38;99872;PANO;
178;81086;38;99872;SENE;
179;81087;38;99872;SUMUR AMAN;
180;81088;38;99872;TARAGAI / TARAGAE;
181;81089;37;99872;TEREYEMU (TERIYEMU);
182;81090;38;99872;UPIN;
183;81091;37;99872;WAGHIEN/KOBA (WAGHAIN BAWAH);
184;81092;37;99872;WAGIN;
185;81093;37;99872;WAMAN;
186;81094;37;99872;WARUWE;
187;81095;37;99872;YATAN;
188;81096;39;99874;ABOGE;
189;81097;39;99874;ASAREN (ASSAREN);
190;81098;39;99874;CHANANI (KHANAMI);
191;81099;39;99874;ECI;
192;81100;39;99874;GIRIMIO;
193;81101;39;99874;HAFFO;
194;81102;39;99874;HOMANG;
195;81103;39;99874;ISAGE;
196;81104;39;99874;JUFO BESAR;
197;81105;39;99874;JUFO KECIL;
198;81106;39;99874;KAITOK;
199;81107;39;99874;KERU;
200;81108;39;99874;KHABU;
201;81109;39;99874;KIKI;
202;81110;39;99874;KOPI;
203;81111;39;99874;MEDA;
204;81112;39;99874;SIGARE;
205;81113;39;99874;YAME;
206;81114;40;99875;ABAU;
207;81115;41;99875;AMASU (AMAZU);
208;81116;42;99875;BASMAN;
209;81117;40;99875;BIDNEU (BIDNEW);
210;81118;40;99875;BIFO;
211;81119;41;99875;BINERBIS;
212;81120;43;99875;BUSIRI;
213;81121;40;99875;EPEM;
214;81122;41;99875;FOMU;
215;81123;43;99875;HAKU;
216;81124;43;99875;HONYA;
217;81125;41;99875;IMEMBI;
218;81126;43;99875;KETA;
219;81127;42;99875;KUMABAN;
220;81128;40;99875;KUMASMA;
221;81129;42;99875;MEROKIMA;
222;81130;42;99875;MU;
223;81131;42;99875;PIER;
224;81132;42;99875;SAGIS;
225;81133;40;99875;SAMURUKIE;
226;81134;40;99875;SENGGO;
227;81135;40;99875;TAMANIM;
228;81136;42;99875;TARWA;
229;81137;41;99875;TAYAU;
230;81138;41;99875;TIAU;
231;81139;42;99875;TUGUMAU;
232;81140;43;99875;VETA;
233;81141;40;99875;WOMIN;
234;81142;43;99875;WONGGI;
235;81143;41;99875;YEMU;
236;81144;44;99881;AMAGATSU;
237;81145;44;99881;AMENDA;
238;81146;44;99881;AMURO (OMURO);
239;81147;44;99881;ARARE;
240;81148;44;99881;ATSIPIM;
241;81149;44;99881;GAIRIPIM;
242;81150;44;99881;KAIBU;
243;81151;44;99881;KAIBUSENE;
244;81152;44;99881;KASIMA;
245;81153;44;99881;KATAGE;
246;81154;44;99881;KERKE;
247;81155;44;99881;MANI;
248;81156;44;99881;OKOR (OKOOR);
249;81157;44;99881;PAGAI;
250;81158;44;99881;SEMTAIPIM (TSEMTAIPIM);
251;81159;44;99881;SOGOPHE;
252;81160;44;99881;WAROGOM;
253;81161;44;99881;WIYAGE;
254;81162;44;99881;YAGATSU;
255;81163;45;99910;HARAPAN;
256;81164;45;99910;INAOGA (INAUGA);
257;81165;45;99910;KAMORO JAYA;
258;81166;45;99910;KOPERAPOKA;
259;81167;45;99910;KWAMKI;
260;81168;45;99910;LIMAU ASRI;
261;81169;45;99910;NAWARIPI;
262;81170;45;99910;NAYARO;
263;81171;45;99910;TIMIKA JAYA;
264;81172;45;99910;WANGIRJA;
265;81173;45;99910;WONOSARI JAYA;
266;81174;46;99963;HIRIPAU;
267;81175;46;99963;KADUN JAYA;
268;81176;46;99963;KAUGAPU;
269;81177;46;99963;MWAPI;
270;81178;46;99963;PIGAPU;
271;81179;46;99963;POMAKO (PAUMAKO);
272;81180;46;99963;TIPUKA;
273;81181;46;99963;WANIA;
274;81182;47;99964;AMUNGUN;
275;81183;47;99964;ARAMSOLKI;
276;81184;47;99964;FAKAFUKU;
277;81185;47;99964;KILIARMA;
278;81186;48;99965;NOEMA (NERVA);
279;81187;48;99965;SEMPAN TIMUR;
280;81188;48;99965;SUMAPRO;
281;81189;48;99965;WAPU;
282;81190;48;99965;WENIN;
283;81191;49;99966;DILOA;
284;81192;49;99966;ENGGIN;
285;81193;49;99966;GESELAMA;
286;81194;49;99966;JILA;
287;81195;49;99966;NOEMUN;
288;81196;50;99967;ARWANDOP (ARWANOP);
289;81197;50;99967;BANIGOGOM;
290;81198;50;99967;DOLININGOKNGIN;
291;81199;50;99967;HOYA;
292;81200;50;99967;ILAGA;
293;81201;50;99967;JAGAMIN;
294;81202;50;99967;JINONI (JINONIN);
295;81203;50;99967;OPITAWAK;
296;81204;50;99967;PUTI;
297;81205;50;99967;SINGA (T\SINGA);
298;81206;50;99967;TEMBAGAPURA;
299;81207;50;99967;WAA;
300;81208;51;99968;BHINTUKA;
301;81209;51;99968;IWAKA;
302;81210;51;99968;KARANG SENANG;
303;81211;51;99968;KUALA KENCANA;
304;81212;51;99968;MULIA KENCANA;
305;81213;51;99968;NAENA MUKTIPURA;
306;81214;51;99968;UTIKINI BARU;
307;81215;52;99971;AMAMAPARE;
308;81216;52;99971;AYUKA;
309;81217;52;99971;FANAMO;
310;81218;52;99971;OHOTYA;
311;81219;52;99971;OMAWITA;
312;81220;53;99972;AIKAWAPUKA;
313;81221;53;99972;ATUKA;
314;81222;53;99972;KAMORA;
315;81223;53;99972;KEAKWA;
316;81224;53;99972;TIWAKA;
317;81225;54;99973;AKAR;
318;81226;55;99973;AMAR;
319;81227;55;99973;APIRI (IPIRI);
320;81228;54;99973;KAPIRAYA;
321;81229;55;99973;KAWAR (KAUAR);
322;81230;54;99973;KIPIA;
323;81231;55;99973;KIYURA;
324;81232;55;99973;KOKONAO;
325;81233;55;99973;MANAWARE (MANUARE);
326;81234;54;99973;MAPAR;
327;81235;54;99973;MAPURUKU (MAPURUKA/MUPURUKA);
328;81236;55;99973;MIGIWIA;
329;81237;55;99973;MIMIKA;
330;81238;55;99973;PARIPI;
331;81239;54;99973;PRONGGO;
332;81240;54;99973;UTA;
333;81241;54;99973;WAKIA;
334;81242;54;99973;WUMUKA;
335;81243;55;99973;YARAYA;
336;81244;56;99974;AIDUNA (AINDUA);
337;81245;56;99974;POTOWAYBURU (POTOWAIBURU);
338;81246;56;99974;TAPORMAI;
339;81247;56;99974;UMAR;
340;81248;56;99974;YAPAKOPA;
341;80457;57;99587;SOHI;
342;80458;57;99587;SOHOMBUNU;
343;80459;57;99587;SOMBULE;
344;80460;57;99587;SUAHE;
345;80461;57;99587;SUELE;
346;80462;57;99587;SUMBULE SATU;
